0 8032161 7195437 7926922
1 7857965 7335943 7948463
2 8119157 7514960 7976380
3 8159412 7428324 7990779
4 7938187 7676585 8066704
5 8052814 7426152 8212924
6 7775406 7584122 8176070
7 7995401 7328492 8056291
8 7787366 7265364 7989267
9 7909707 7336368 7911963
10 7946882 7037371 7785475
11 7806145 7266480 7698911
12 7996290 6861483 7666019
13 7701321 7150163 7716094
14 8032830 7026578 7640745
15 7976946 6980235 7603993
16 7966740 7133493 7599721
17 8039398 6954559 7703771
18 7851612 7314323 7744203
19 8063957 7118445 7837242
20 7837166 7450743 8017026
21 8014691 7413454 8032463
22 7903634 7277978 8080750
23 7820010 7569495 8149731
24 7968781 7303898 8164197
25 7684754 7456102 8078735
26 7888920 7266679 8111183
27 7795127 7208184 7905096
28 7833491 7092952 7737119
29 7911141 6772968 7616607
30 7808641 6905760 7413913
31 8132924 6582726 7239217
32 7915273 6749079 7180068
33 8184635 6618100 7098676
34 7939829 6542062 7174609
35 7836086 6646828 7207761
36 8033859 6497774 7245806
37 7740070 6843994 7359858
38 7893313 6674380 7606100
39 7850083 6933598 7479857
40 8249927 7155365 7523098
41 8250421 7339312 7764596
42 8358228 7863754 7842599
43 8622892 7830551 8077334
44 8466466 8250070 8115145
45 8917680 8255409 8071426
46 8903491 8523144 8090512
47 9259040 8881646 8085411
48 9600409 8900048 8045806
49 9424176 9418640 8289729
50 9681614 9271199 8410952
51 9549223 9786773 8611799
52 9988495 10099579 8747402
53 10107515 10493160 8941724
54 10317405 11045297 9218790
55 10479669 11178164 9503354
56 10573100 11826782 9578025
57 11020499 11954408 9719882
58 11060915 12657574 9985334
59 11361240 13026683 10315650
60 11354996 13393274 10652577
61 11326763 13879311 11008731
62 11466457 13895737 11246078
63 11286769 14369669 11389079
64 11236661 13993763 11513736
65 10956258 13940454 11457195
66 11155660 13910209 11291797
67 10743556 13309981 11259537
68 10369010 13168176 11159493
69 10178539 12330566 10955003
70 9529489 11862729 10712151
71 9489883 11198247 10339041
72 8842198 10321398 10006537
73 8455092 9671094 9678124
74 8151463 8917390 9518131
75 7534211 8686595 9422861
76 7694968 7951691 9072412
77 7128893 7858179 9145961
78 7248033 7633393 9011763
79 7104694 7219752 8684983
80 7048765 7271164 8610420
81 7166100 6858931 8534931
82 6907254 7265214 8644102
83 7176471 7025241 8606724
84 6981459 7102112 8571098
85 7299576 7149208 8454783
86 7256847 7078466 8480011
87 7299445 7319582 8389586
88 7451737 7003591 8328378
89 7228627 7267015 8376546
90 7461802 6985602 8209727
91 7416328 7074292 8160389
92 7565711 7107165 8041225
93 7586401 6921936 8111456
94 7468394 7270382 8128439
95 7728344 7033103 8100432
96 7582551 7267998 8008296
97 7790412 7194021 8015046
98 7724475 7256954 8036172
99 7942075 7390145 7919350
100 8040052 7405725 8141552
101 7950352 7741251 8141491
102 8151655 7578822 8253483
103 7811686 7711997 8256429
104 8059694 7643078 8193762
105 8094072 7559378 8104174
106 7855245 7685837 8229894
107 7836047 7239931 8212042
108 7707645 7484035 8117846
109 7967019 7371077 8136549
110 7853467 7406434 8019892
111 7975736 7458902 7964894
112 7897857 7185127 7984185
113 7766318 7284070 7811682
114 8064641 6990373 7720695
115 7675967 7078989 7776279
116 7958638 7008662 7723634
117 7846896 7067996 7783933
118 7843329 7193690 7805520
119 7784721 6981369 7984468
120 7762738 7362285 7861187
121 8057667 7154777 7881523
122 7933256 7463302 7938957
123 8233086 7626593 8002123
124 7969616 7427054 8119070
125 7871437 7646166 8151841
126 8064430 7407777 8173937
127 7859563 7682578 8122224
128 8060282 7338697 8031119
129 7796946 7485174 8153366
130 7825826 7282766 7971861
131 7827114 7009305 7930841
132 7722350 7172005 7736420
133 7978399 6847169 7615141
134 7862108 7131028 7584994
135 8102770 6996686 7587747
136 7947353 6910397 7553140
137 7875531 7054147 7625205
138 7887357 6814349 7739714
139 7726043 7303546 7881723
140 8118444 7285000 7935988
141 7831149 7449215 7989158
142 8082786 7492147 8092949
143 7947339 7475937 8214255
144 7950118 7655710 8070831
145 8085365 7342714 8050261
146 7899388 7686576 8089160
147 8161381 7533651 8104004
148 7949622 7565730 8053799
149 8033103 7566425 8086167
150 8085092 7270984 7910377
151 7982149 7485377 7819428
152 8271123 7205608 7720023
153 8051143 7457650 7739917
154 8159414 7331147 7847373
155 7914746 7252935 7884513
156 8061401 7339158 7681042
157 8134634 7189612 7814079
158 7908512 7448593 7820355
159 8121476 7157913 7876611
160 7867653 7487300 7995064
161 8163569 7569820 8031526
162 7913509 7507485 8214815
163 7877682 7855264 8370360
164 8061623 7595151 8350210
165 7956866 7865550 8219317
166 8273135 7574723 8044559
167 8173147 7847896 8128355
168 8316924 7852484 8082312
169 8282384 7636954 8060133
170 8034054 7703067 8041222
171 8083042 7335081 8052334
172 7814274 7542342 8044371
173 8180373 7358013 7871564
174 8021550 7486547 7967773
175 8181056 7640514 7947603
176 8185621 7352010 7891736
177 8006902 7574088 7875289
178 8215559 7349907 7925481
179 8018972 7618862 7977785
180 8380831 7761475 8060844
181 8108755 7782686 8244882
182 8118418 8104820 8404499
183 8365807 8010237 8475155
184 8137391 8324992 8503110
185 8505741 8147041 8418243
186 8217948 8271123 8453457
187 8423317 8263758 8393714
188 8363638 7970479 8284951
189 8218900 8091422 8228299
190 8318807 7581208 8088649
191 8123551 7812994 7982593
192 8455353 7655588 7968119
193 8251789 7579374 7830374
194 8503753 7731563 7743470
195 8246736 7419143 7882824
196 8081375 7659942 7880743
197 8278521 7462093 7973568
198 8058446 7759537 8043381
199 8354976 7687578 8063227
200 8305682 7886381 8127769
201 8344456 8190607 8231311
202 8501446 8016283 8264945
203 8445677 8405293 8260258
204 8749986 8220537 8267898
205 8502831 8467757 8399208
206 8587348 8427705 8409288
207 8531447 8272780 8353602
208 8437734 8427000 8309007
209 8613269 8089484 8285125
210 8342696 8231757 8234846
211 8612579 8078333 8179194
212 8504499 8122693 8140646
213 8514056 7990398 8015917
214 8545277 7868514 8025349
215 8418809 8065610 7963924
216 8721324 7929867 8038307
217 8467962 8266276 8130006
218 8823275 8256371 8167492
219 8578976 8221931 8221413
220 8582635 8402068 8318307
221 8721984 8332517 8419852
222 8504206 8679807 8479677
223 8692190 8466585 8572099
224 8600185 8811043 8629878
225 8860107 8818259 8561831
226 8883541 8713964 8486668
227 8680233 8821364 8488209
228 8822435 8601947 8597483
229 8593082 8824171 8534707
230 8785051 8548829 8495295
231 8621706 8688883 8543008
232 8756699 8632637 8383989
233 8775091 8328959 8277513
234 8632941 8541128 8224216
